experiment,IoU,Precision,Recall,F1
baseline,0.40668290853500366,0.6869712471961975,0.6165370941162109,0.6455447673797607
bn_dropout,0.5583760738372803,0.7297986149787903,0.792117714881897,0.758305013179779
